,id,usr_id,cntr_id,bkng_id,oppnt_id,match_id,centre_user_verified,centre_verified,created,date_time,match_type,result,score,sets_won,sport,status,team,user_opponent_verified,user_verified,verified,user_id,centre_id,booking_id,opponent
476,4204,10676,3,45305,10990,dcb12bf4-c98c-4a41-b488-a1fb92886cbc,"""a27ac136-1bdf-11e9-a311-4a63b083e8d2_0e6a10ff-8c1b-4f5e-8577-06e68a12aa3f_True",a27ac136-1bdf-11e9-a311-4a63b083e8d2_True,2022-02-13T04:30:31,2022-02-13_09:00,singles,W,"[[11, 4]]",1,squash,CONFIRMED,player1,"""0e6a10ff-8c1b-4f5e-8577-06e68a12aa3f_4a598013-3ceb-4305-a47c-d12ed15c249b_True",0e6a10ff-8c1b-4f5e-8577-06e68a12aa3f_True,True,0e6a10ff-8c1b-4f5e-8577-06e68a12aa3f,a27ac136-1bdf-11e9-a311-4a63b083e8d2,439342cd-66d6-4510-a4cf-455303fd58fb,4a598013-3ceb-4305-a47c-d12ed15c249b
477,4212,10676,3,45305,11004,877ede9a-7ef9-4ce2-a1c1-325b6bd8390d,"""a27ac136-1bdf-11e9-a311-4a63b083e8d2_0e6a10ff-8c1b-4f5e-8577-06e68a12aa3f_True",a27ac136-1bdf-11e9-a311-4a63b083e8d2_True,2022-02-13T04:30:30,2022-02-13_09:00,singles,W,"[[11, 8]]",1,squash,CONFIRMED,player1,"""0e6a10ff-8c1b-4f5e-8577-06e68a12aa3f_b6949172-346f-4ed4-a4dc-9d5ea1255acb_True",0e6a10ff-8c1b-4f5e-8577-06e68a12aa3f_True,True,0e6a10ff-8c1b-4f5e-8577-06e68a12aa3f,a27ac136-1bdf-11e9-a311-4a63b083e8d2,439342cd-66d6-4510-a4cf-455303fd58fb,b6949172-346f-4ed4-a4dc-9d5ea1255acb
478,4208,10676,3,45305,11004,d4a7139b-4e9d-4dc5-a7e4-475f9db19081,"""a27ac136-1bdf-11e9-a311-4a63b083e8d2_0e6a10ff-8c1b-4f5e-8577-06e68a12aa3f_True",a27ac136-1bdf-11e9-a311-4a63b083e8d2_True,2022-02-13T04:30:31,2022-02-13_09:00,singles,W,"[[11, 4]]",1,squash,CONFIRMED,player1,"""0e6a10ff-8c1b-4f5e-8577-06e68a12aa3f_b6949172-346f-4ed4-a4dc-9d5ea1255acb_True",0e6a10ff-8c1b-4f5e-8577-06e68a12aa3f_True,True,0e6a10ff-8c1b-4f5e-8577-06e68a12aa3f,a27ac136-1bdf-11e9-a311-4a63b083e8d2,439342cd-66d6-4510-a4cf-455303fd58fb,b6949172-346f-4ed4-a4dc-9d5ea1255acb
479,4206,11004,3,45305,10676,c7e92557-04b2-4e9b-94c8-0977b3a9ecb1,"""a27ac136-1bdf-11e9-a311-4a63b083e8d2_b6949172-346f-4ed4-a4dc-9d5ea1255acb_True",a27ac136-1bdf-11e9-a311-4a63b083e8d2_True,2022-02-13T04:30:30,2022-02-13_09:00,singles,L,"[[4, 11]]",0,squash,CONFIRMED,player1,"""b6949172-346f-4ed4-a4dc-9d5ea1255acb_0e6a10ff-8c1b-4f5e-8577-06e68a12aa3f_True",b6949172-346f-4ed4-a4dc-9d5ea1255acb_True,True,b6949172-346f-4ed4-a4dc-9d5ea1255acb,a27ac136-1bdf-11e9-a311-4a63b083e8d2,439342cd-66d6-4510-a4cf-455303fd58fb,0e6a10ff-8c1b-4f5e-8577-06e68a12aa3f
480,4211,10676,3,45305,10990,7ded6b9c-839c-4c63-9c16-30f45390c247,"""a27ac136-1bdf-11e9-a311-4a63b083e8d2_0e6a10ff-8c1b-4f5e-8577-06e68a12aa3f_True",a27ac136-1bdf-11e9-a311-4a63b083e8d2_True,2022-02-13T04:30:30,2022-02-13_09:00,singles,W,"[[7, 11]]",1,squash,CONFIRMED,player2,"""0e6a10ff-8c1b-4f5e-8577-06e68a12aa3f_4a598013-3ceb-4305-a47c-d12ed15c249b_True",0e6a10ff-8c1b-4f5e-8577-06e68a12aa3f_True,True,0e6a10ff-8c1b-4f5e-8577-06e68a12aa3f,a27ac136-1bdf-11e9-a311-4a63b083e8d2,439342cd-66d6-4510-a4cf-455303fd58fb,4a598013-3ceb-4305-a47c-d12ed15c249b
481,4216,10990,3,45305,11004,69f30e12-1dcb-4660-8041-e9c62b134c50,"""a27ac136-1bdf-11e9-a311-4a63b083e8d2_4a598013-3ceb-4305-a47c-d12ed15c249b_True",a27ac136-1bdf-11e9-a311-4a63b083e8d2_True,2022-02-13T04:30:29,2022-02-13_09:00,singles,L,"[[5, 11]]",0,squash,CONFIRMED,player1,"""4a598013-3ceb-4305-a47c-d12ed15c249b_b6949172-346f-4ed4-a4dc-9d5ea1255acb_True",4a598013-3ceb-4305-a47c-d12ed15c249b_True,True,4a598013-3ceb-4305-a47c-d12ed15c249b,a27ac136-1bdf-11e9-a311-4a63b083e8d2,439342cd-66d6-4510-a4cf-455303fd58fb,b6949172-346f-4ed4-a4dc-9d5ea1255acb
482,4254,6106,3,45394,3580,cbdde1d6-29bf-417b-a195-5b6fefe659b7,"""a27ac136-1bdf-11e9-a311-4a63b083e8d2_d309081f-83bc-4aa7-bfc6-18be332dfff1_True",a27ac136-1bdf-11e9-a311-4a63b083e8d2_True,2022-02-13T15:33:50,2022-02-13_20:00,singles,L,"[[6, 11], [11, 7], [7, 11], [8, 11], [12, 10], [11, 13], [10, 12], [8, 11]]",2,squash,CONFIRMED,player1,"""d309081f-83bc-4aa7-bfc6-18be332dfff1_8a570cb0-41c8-4782-9dc1-54d5e810016b_True",d309081f-83bc-4aa7-bfc6-18be332dfff1_True,True,d309081f-83bc-4aa7-bfc6-18be332dfff1,a27ac136-1bdf-11e9-a311-4a63b083e8d2,9cc931a8-3b79-45ba-b055-582c2c487f62,8a570cb0-41c8-4782-9dc1-54d5e810016b
483,4264,6053,3,45410,2867,0b977d87-d707-4a91-b530-7cdf81607838,"""a27ac136-1bdf-11e9-a311-4a63b083e8d2_847899eb-aca2-42fc-b99e-4c2274f2a32f_True",a27ac136-1bdf-11e9-a311-4a63b083e8d2_True,2022-02-14T06:28:15,2022-02-14_11:00,singles,L,"[[8, 11], [3, 11], [6, 11], [11, 6]]",1,squash,CONFIRMED,player1,"""847899eb-aca2-42fc-b99e-4c2274f2a32f_9b750be9-1fd9-4a82-bc5f-08f103129b41_True",847899eb-aca2-42fc-b99e-4c2274f2a32f_True,True,847899eb-aca2-42fc-b99e-4c2274f2a32f,a27ac136-1bdf-11e9-a311-4a63b083e8d2,7a3cbd45-47cb-421d-aca2-6d9736597ff7,9b750be9-1fd9-4a82-bc5f-08f103129b41
484,4285,10240,3,45402,9318,6176a80a-d676-4f3a-b2fd-5d616dd188a5,"""a27ac136-1bdf-11e9-a311-4a63b083e8d2_b24e68d0-0659-424c-af2c-905923e25e18_True",a27ac136-1bdf-11e9-a311-4a63b083e8d2_True,2022-02-14T14:26:04,2022-02-14_19:00,singles,W,"[[11, 8], [10, 12], [5, 11], [11, 5], [8, 11], [11, 6], [13, 15]]",4,squash,CONFIRMED,player2,"""b24e68d0-0659-424c-af2c-905923e25e18_153a64dd-7a41-4dea-b1f6-285330964399_True",b24e68d0-0659-424c-af2c-905923e25e18_True,True,b24e68d0-0659-424c-af2c-905923e25e18,a27ac136-1bdf-11e9-a311-4a63b083e8d2,f4630892-d4d2-4e2a-b8d5-98a50b53a7f0,153a64dd-7a41-4dea-b1f6-285330964399
485,4295,9466,3,45300,8540,dfab0a33-57f8-452c-a05b-2e7169d66088,"""a27ac136-1bdf-11e9-a311-4a63b083e8d2_26c88dbc-5b3b-4765-9ea5-40865ae82dee_True",a27ac136-1bdf-11e9-a311-4a63b083e8d2_True,2022-02-15T04:26:58,2022-02-15_09:00,singles,L,"[[5, 11], [11, 5], [10, 12], [11, 7], [11, 9]]",2,squash,CONFIRMED,player2,"""26c88dbc-5b3b-4765-9ea5-40865ae82dee_e6f82386-b0f6-4476-b35d-a4233796dffa_True",26c88dbc-5b3b-4765-9ea5-40865ae82dee_True,True,26c88dbc-5b3b-4765-9ea5-40865ae82dee,a27ac136-1bdf-11e9-a311-4a63b083e8d2,a98b3dfc-af8f-40ac-b083-2b02f60d9ea8,e6f82386-b0f6-4476-b35d-a4233796dffa
